Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13844904,3134667,1875,775966,131394,"[46578, 62553]","[3907, 235]","[3317, 178]",[56],23,39,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],13844904,3134667,1875,775966,84344,[58052],[7266],[5211],,14,15,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14752182,14468031,178,957643,58591,"[21968, 7347, 1787, 186, 78, 5]","[5315, 149, 804, 39, 10, 1]","[3574, 281, 455, 78, 30, 6]","[87, 103, 132, 30, 8, 0]",43,95,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14752182,14468031,178,957643,79511,"[27921, 34450]","[2413, 229]","[2987, 174]",[57],22,37,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],14752182,14468031,178,957643,56186,[32969],[6037],[4785],,14,14,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1789379,35782248,1720,694452,48386,"[16047, 3952, 1865, 170, 89, 4]","[4809, 147, 792, 39, 9, 1]","[3078, 281, 433, 98, 29, 6]","[94, 128, 41, 28, 5, 0]",99,184,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1789379,35782248,1720,694452,52121,"[15834, 19748]","[3357, 734]","[2617, 209]",[56],93,179,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],1789379,35782248,1720,694452,47095,[20392],[9595],[4591],,71,71,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14479900,23145265,59,597640,48400,"[15361, 3831, 1856, 208, 88, 4]","[5445, 138, 589, 44, 10, 1]","[3379, 316, 340, 96, 30, 5]","[101, 139, 39, 25, 6, 0]",43,95,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14479900,23145265,59,597640,46453,"[15078, 15934]","[2701, 196]","[2791, 230]",[71],23,39,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],14479900,23145265,59,597640,43510,[20224],[6050],[4607],,14,14,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12573618,5046125,1441,640472,75435,"[31514, 12583, 2316, 288, 135, 5]","[5305, 162, 695, 44, 12, 1]","[3671, 306, 518, 87, 29, 23]","[94, 101, 73, 34, 8, 0]",44,96,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12573618,5046125,1441,640472,129138,"[45356, 61532]","[3923, 247]","[3255, 189]",[58],24,41,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],12573618,5046125,1441,640472,84007,[57612],[7449],[5178],,16,16,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",558699,6521659,1888,96763,42021,"[10194, 2444, 1850, 187, 80, 4]","[5583, 132, 568, 41, 10, 1]","[3377, 307, 308, 86, 28, 5]","[93, 122, 40, 32, 5, 0]",247,416,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",558699,6521659,1888,96763,41655,"[10533, 12687]","[4055, 1420]","[2247, 160]",[55],269,531,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],558699,6521659,1888,96763,42990,[13566],[12192],[3900],,215,215,8,True,True
european union,1.0,12,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7761368,33064724,1153,374632,47782,"[14675, 2941, 1875, 167, 82, 4]","[5619, 127, 571, 38, 10, 1]","[3532, 288, 328, 80, 30, 4]","[100, 131, 40, 22, 5, 1]",49,104,85,True,True
data.gov,1.0,12,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7761368,33064724,1153,374632,40003,"[11812, 12083]","[2940, 296]","[2835, 186]",[64],30,53,25,True,True
TPCH_1,1.0,12,1,8,61,96,0,[61],[3660],[96],7761368,33064724,1153,374632,41712,[17234],[7698],[4492],,21,21,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11692368,35709470,1060,326074,46991,"[14678, 2997, 1843, 186, 98, 4]","[5656, 137, 611, 39, 11, 1]","[3336, 320, 305, 90, 33, 5]","[93, 126, 171, 26, 5, 0]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11692368,35709470,1060,326074,48841,"[18941, 14958]","[2915, 246]","[2434, 241]",[61],26,45,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],11692368,35709470,1060,326074,47700,[24070],[6549],[4647],,17,17,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11369239,22621313,900,679924,47036,"[14795, 2807, 1868, 188, 85, 4]","[5655, 127, 544, 43, 10, 1]","[3482, 295, 313, 95, 29, 5]","[107, 140, 38, 26, 5, 0]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11369239,22621313,900,679924,45328,"[15942, 14019]","[2750, 256]","[2448, 176]",[66],26,45,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],11369239,22621313,900,679924,42371,[18526],[7064],[4459],,17,17,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7028859,5737469,1112,485158,47025,"[14783, 2667, 1922, 211, 91, 6]","[5513, 130, 573, 40, 10, 1]","[3521, 296, 309, 82, 38, 5]","[92, 129, 180, 23, 7, 0]",52,109,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7028859,5737469,1112,485158,44779,"[16908, 12585]","[2956, 313]","[2486, 221]",[57],34,61,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],7028859,5737469,1112,485158,39856,[15496],[7256],[4529],,22,22,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2456393,20143327,102,809765,48742,"[15869, 2560, 1884, 188, 87, 4]","[5621, 146, 612, 44, 10, 1]","[3627, 300, 350, 87, 28, 5]","[97, 136, 46, 24, 5, 0]",83,158,91,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2456393,20143327,102,809765,41512,"[11624, 13154]","[3985, 643]","[2389, 165]",[58],72,137,35,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],2456393,20143327,102,809765,43183,[15733],[10619],[4465],,53,53,12,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14331668,32510831,1537,768676,49342,"[15938, 3355, 1905, 168, 85, 5]","[5527, 137, 569, 46, 11, 1]","[3364, 288, 358, 88, 30, 5]","[105, 128, 193, 23, 6, 0]",43,95,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14331668,32510831,1537,768676,47801,"[15437, 17004]","[2681, 203]","[2821, 177]",[74],23,39,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],14331668,32510831,1537,768676,44719,[21265],[6084],[4610],,14,14,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12435159,17926495,740,396235,47854,"[14371, 3116, 1839, 169, 78, 5]","[5378, 145, 593, 44, 11, 1]","[3390, 317, 308, 86, 35, 5]","[96, 119, 157, 23, 6, 1]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12435159,17926495,740,396235,50371,"[20581, 14642]","[2780, 221]","[2465, 261]",[62],24,41,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],12435159,17926495,740,396235,54574,[31155],[6949],[4277],,16,16,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14745424,16546999,1568,131723,58125,"[21387, 7092, 1765, 174, 105, 5]","[5461, 152, 708, 39, 15, 1]","[3350, 254, 428, 85, 36, 6]","[90, 91, 121, 48, 13, 1]",43,95,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14745424,16546999,1568,131723,78973,"[27080, 34744]","[2683, 210]","[2873, 181]",[50],22,37,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],14745424,16546999,1568,131723,56655,[33065],[6160],[4538],,14,14,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",669719,19016371,114,604667,45958,"[13825, 2420, 1926, 176, 80, 4]","[5482, 150, 615, 40, 10, 1]","[3375, 302, 319, 88, 26, 5]","[90, 130, 39, 23, 5, 1]",212,361,109,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",669719,19016371,114,604667,40167,"[10434, 12153]","[4135, 715]","[2264, 155]",[55],227,447,61,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],669719,19016371,114,604667,43088,[13606],[11637],[4307],,179,179,23,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7116371,8094234,1257,98732,48130,"[15189, 3123, 1959, 193, 77, 5]","[5531, 124, 595, 39, 9, 1]","[3437, 291, 340, 81, 33, 5]","[96, 124, 42, 24, 7, 1]",52,109,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7116371,8094234,1257,98732,44324,"[14875, 13866]","[2862, 364]","[2725, 145]",[57],34,61,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],7116371,8094234,1257,98732,41600,[17361],[7476],[4191],,22,22,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3297959,13054289,575,397601,76907,"[32083, 12566, 2374, 291, 137, 5]","[5243, 197, 603, 45, 13, 1]","[3565, 292, 565, 76, 28, 6]","[92, 109, 73, 33, 7, 0]",69,136,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3297959,13054289,575,397601,134527,"[47201, 63741]","[4814, 644]","[3272, 190]",[56],55,103,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],3297959,13054289,575,397601,87502,[59481],[9532],[4807],,42,42,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2654186,30843943,335,364640,54393,"[18974, 5248, 1966, 182, 86, 4]","[5298, 136, 606, 46, 10, 1]","[3454, 275, 415, 91, 29, 6]","[94, 117, 186, 31, 5, 0]",80,153,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2654186,30843943,335,364640,59943,"[19382, 24462]","[2906, 560]","[2505, 154]",[55],67,127,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],2654186,30843943,335,364640,53454,[27943],[8914],[4252],,50,50,8,True,True
european union,1.0,5,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14449296,9774726,1510,139812,50455,"[15764, 4035, 1998, 170, 93, 5]","[5333, 141, 591, 37, 9, 1]","[3432, 282, 332, 85, 29, 5]","[93, 153, 41, 27, 6, 0]",43,95,85,True,True
data.gov,1.0,5,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14449296,9774726,1510,139812,47901,"[16200, 16665]","[2516, 199]","[2445, 144]",[56],23,39,25,True,True
TPCH_1,1.0,5,1,8,61,96,0,[61],[3660],[96],14449296,9774726,1510,139812,46012,[23041],[6016],[4166],,14,14,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9068067,21935140,1270,544246,47708,"[14553, 2528, 1843, 168, 77, 4]","[5430, 126, 594, 38, 9, 0]","[3386, 235, 369, 85, 28, 5]","[101, 120, 41, 23, 5, 0]",47,101,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9068067,21935140,1270,544246,46841,"[17400, 12152]","[2898, 281]","[2667, 158]",[85],29,51,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],9068067,21935140,1270,544246,41044,[16299],[7511],[4598],,19,19,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13894619,20897594,397,261203,48607,"[15287, 3380, 1798, 182, 91, 4]","[5352, 126, 602, 38, 10, 1]","[3407, 296, 357, 86, 31, 5]","[98, 141, 231, 28, 6, 0]",44,96,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13894619,20897594,397,261203,46414,"[15253, 15767]","[2605, 199]","[2713, 164]",[65],23,39,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],13894619,20897594,397,261203,45625,[22585],[6141],[4368],,14,14,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3217472,6266341,1957,9147,47348,"[15121, 2506, 1772, 172, 85, 4]","[5850, 132, 578, 38, 9, 1]","[3535, 324, 331, 83, 28, 5]","[97, 123, 174, 23, 5, 0]",72,141,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3217472,6266341,1957,9147,39621,"[11330, 12442]","[3124, 517]","[2700, 187]",[62],56,105,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],3217472,6266341,1957,9147,40466,[15481],[8399],[4238],,42,42,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7512603,18630536,983,404303,48479,"[15453, 3323, 1907, 168, 89, 4]","[5354, 138, 593, 46, 11, 0]","[3361, 291, 314, 86, 29, 5]","[97, 123, 172, 26, 5, 0]",51,108,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7512603,18630536,983,404303,50931,"[20083, 14969]","[2884, 325]","[2630, 197]",[61],31,55,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],7512603,18630536,983,404303,42596,[18872],[7097],[4492],,21,21,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12316372,27670777,416,300791,47523,"[14595, 3187, 1956, 168, 87, 5]","[5367, 140, 575, 39, 11, 1]","[3376, 299, 303, 84, 30, 6]","[97, 129, 59, 24, 6, 1]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12316372,27670777,416,300791,50111,"[19530, 14746]","[2920, 234]","[2478, 180]",[64],24,41,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],12316372,27670777,416,300791,51243,[27246],[7249],[4425],,16,16,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5478693,25059179,569,389254,46681,"[14747, 2647, 1864, 188, 92, 4]","[5612, 138, 598, 43, 9, 1]","[3371, 300, 297, 94, 29, 5]","[97, 136, 39, 27, 5, 0]",56,116,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",5478693,25059179,569,389254,40803,"[13214, 11966]","[2992, 415]","[2520, 277]",[66],39,71,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],5478693,25059179,569,389254,40283,[15989],[7763],[4094],,27,27,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8100105,24689065,1831,969051,48707,"[15494, 3311, 1856, 195, 81, 4]","[5330, 120, 567, 40, 13, 1]","[3377, 273, 360, 90, 33, 5]","[95, 135, 174, 25, 5, 0]",49,104,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8100105,24689065,1831,969051,44757,"[13693, 14845]","[2972, 276]","[2655, 140]",[63],30,53,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],8100105,24689065,1831,969051,43588,[19517],[7185],[4644],,20,20,8,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3560453,31569239,1628,70210,48522,"[16422, 2691, 1857, 173, 79, 4]","[5521, 135, 563, 50, 10, 1]","[3318, 253, 324, 75, 28, 4]","[94, 125, 39, 36, 5, 0]",67,133,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3560453,31569239,1628,70210,42835,"[12271, 14623]","[3050, 501]","[2683, 150]",[61],53,99,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],3560453,31569239,1628,70210,40995,[16070],[8505],[4166],,38,38,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1707757,34453334,478,526437,77531,"[32807, 12791, 2406, 294, 156, 5]","[5241, 203, 692, 53, 19, 1]","[3516, 326, 516, 94, 38, 6]","[96, 100, 71, 49, 13, 1]",104,191,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1707757,34453334,478,526437,136320,"[46226, 62220]","[5399, 857]","[3401, 198]",[50],97,187,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],1707757,34453334,478,526437,90282,[60561],[10828],[5102],,74,74,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13803292,36956764,1264,334697,46455,"[14072, 3089, 1856, 200, 86, 4]","[5579, 127, 595, 39, 9, 1]","[3485, 311, 393, 86, 32, 5]","[93, 121, 178, 22, 5, 0]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13803292,36956764,1264,334697,49779,"[18488, 16338]","[2618, 210]","[2362, 217]",[58],23,39,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],13803292,36956764,1264,334697,51140,[27770],[6440],[4402],,14,14,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1932078,25788448,178,538592,47383,"[15056, 2599, 1910, 182, 95, 4]","[5627, 135, 603, 40, 10, 1]","[3332, 310, 330, 87, 33, 6]","[104, 121, 200, 24, 6, 1]",95,177,91,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1932078,25788448,178,538592,41249,"[11101, 12268]","[4693, 760]","[2248, 179]",[64],87,167,33,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],1932078,25788448,178,538592,39485,[14715],[8278],[4106],,65,65,11,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8427897,29088041,280,298166,57743,"[21430, 6638, 1763, 172, 77, 4]","[5308, 177, 640, 44, 10, 1]","[3390, 289, 487, 79, 29, 5]","[100, 99, 139, 26, 6, 1]",49,104,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8427897,29088041,280,298166,79313,"[27820, 35573]","[2741, 275]","[3026, 185]",[52],29,51,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],8427897,29088041,280,298166,58119,[33970],[7220],[4679],,20,20,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7493525,5387648,130,708869,48351,"[14847, 3678, 1818, 170, 83, 5]","[5431, 125, 535, 38, 11, 1]","[3424, 282, 366, 94, 30, 5]","[106, 143, 48, 23, 5, 0]",51,108,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7493525,5387648,130,708869,45960,"[16307, 13525]","[3003, 298]","[2604, 151]",[61],32,57,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],7493525,5387648,130,708869,40585,[16639],[7020],[4483],,21,21,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1161647,14013232,353,809691,47972,"[15334, 2912, 1878, 173, 85, 4]","[5557, 150, 763, 48, 9, 1]","[3407, 257, 344, 90, 30, 4]","[93, 138, 164, 22, 5, 0]",134,239,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1161647,14013232,353,809691,41879,"[11076, 12977]","[4792, 973]","[2385, 167]",[56],137,267,29,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],1161647,14013232,353,809691,40533,[14853],[8997],[4357],,106,106,10,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14565742,36405570,616,492279,76557,"[31459, 12287, 2357, 291, 134, 4]","[5292, 176, 617, 46, 13, 1]","[3710, 314, 528, 82, 45, 6]","[95, 96, 79, 39, 7, 0]",43,95,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14565742,36405570,616,492279,131697,"[45033, 63916]","[3968, 225]","[3352, 189]",[58],23,39,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],14565742,36405570,616,492279,81719,[56400],[6821],[4910],,14,14,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4814855,7486636,915,642589,53239,"[18465, 4934, 2042, 175, 84, 5]","[5242, 146, 587, 37, 10, 1]","[3436, 286, 476, 92, 27, 5]","[91, 113, 176, 28, 5, 0]",58,119,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4814855,7486636,915,642589,61610,"[20263, 25699]","[2839, 423]","[2637, 147]",[59],42,77,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],4814855,7486636,915,642589,50845,[26329],[7617],[4515],,29,29,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12707973,27748689,305,662695,47763,"[14981, 3174, 1905, 205, 82, 4]","[5400, 123, 584, 50, 10, 0]","[3404, 274, 310, 104, 29, 4]","[91, 134, 43, 23, 5, 1]",44,96,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12707973,27748689,305,662695,44123,"[13475, 15445]","[2659, 203]","[2757, 173]",[59],23,39,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],12707973,27748689,305,662695,43745,[19591],[6834],[4424],,16,16,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5195829,31312149,1594,990472,50140,"[16036, 3204, 1882, 169, 74, 0]","[5563, 134, 592, 26, 0, 13]","[3475, 328, 373, 103, 37, 5]","[103, 139, 47, 23, 0, 0]",57,117,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",5195829,31312149,1594,990472,46935,"[13836, 15851]","[3019, 400]","[2976, 163]",[65],41,75,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],5195829,31312149,1594,990472,43870,[18318],[8267],[4641],,28,28,8,True,True
